Geneid	ABA_Col_1	ABA_Col_2	ABA_Col_3	ABA_g7g8_1	ABA_g7g8_2	ABA_g7g8_3	Mock_Col_1	Mock_Col_2	Mock_Col_3	Mock_g7g8_1	Mock_g7g8_2	Mock_g7g8_3
AT1G69860	14	15	14	51	46	34	59	31	33	29	29	19
AT1G10120	13	16	39	48	54	41	52	57	55	110	105	79
AT1G43650	12	11	20	12	19	25	28	32	28	29	27	11
AT1G09960	17	26	26	35	27	27	34	25	16	40	81	44
AT1G51990	2	1	2	2	3	1	1	1	2	6	6	3
AT1G53625	5	4	3	3	2	9	8	7	10	2	11	7
AT1G63360	19	7	14	34	25	19	35	49	29	74	91	44
AT1G33330	8	6	3	16	18	13	6	14	5	18	28	24
AT1G74929	0	0	0	0	0	0	0	0	0	0	0	0
AT1G63430	22	26	25	57	33	52	62	41	51	84	83	70
AT1G80720	11	8	8	5	4	4	7	19	16	27	17	12
AT1G69770	13	39	34	44	40	57	124	123	73	134	156	118
AT1G08460	5	11	13	28	23	20	23	22	16	44	25	28
AT1G78710	0	0	0	0	1	0	0	0	0	0	0	0
AT1G08610	7	5	4	12	9	10	54	31	34	45	117	49
AT1G17540	0	0	1	0	0	1	0	1	0	0	0	0
AT1G27380	2	2	5	0	2	0	3	6	4	2	4	5
AT1G58643	0	0	0	0	0	0	0	0	0	0	0	0
AT1G48953	0	0	0	0	0	0	0	0	0	0	0	0
AT1G51440	3	0	4	0	0	1	2	4	2	3	2	3
AT1G18871	0	0	0	0	0	0	0	0	0	0	0	0
AT1G25210	0	0	0	0	0	0	0	0	0	0	0	0
AT1G21610	20	17	27	43	35	39	45	46	37	86	104	89
AT1G79710	6	8	11	16	8	21	5	11	11	11	22	20
AT1G80840	6	7	6	22	21	36	17	18	3	60	51	32
AT1G71300	1	2	0	2	0	0	1	1	1	0	0	0
AT1G49490	9	20	27	21	19	21	33	34	27	33	43	26
AT1G23645	0	0	0	0	0	0	0	1	0	0	0	0
AT1G09795	43	66	64	145	135	138	140	127	124	247	270	191
AT1G48690	2	1	0	2	0	1	5	1	5	0	8	2
AT1G49570	11	19	15	28	27	24	92	90	80	184	196	140
AT1G68470	4	2	12	7	9	12	5	8	7	11	9	12
AT1G75580	3	6	4	9	12	10	10	19	12	12	5	13
AT1G26400	0	0	0	0	0	0	0	0	0	0	0	0
AT1G72980	0	0	0	0	0	0	0	1	2	0	0	0
AT1G59970	25	31	21	40	35	32	57	45	39	84	121	72
AT1G11520	0	0	0	0	0	0	0	2	0	0	2	1
AT1G30640	26	30	21	39	32	39	23	30	22	57	58	34
AT1G26440	5	2	5	15	10	12	13	9	17	35	52	28
AT1G51320	0	0	0	0	0	0	0	0	0	0	0	0
AT1G22070	10	7	8	32	22	15	25	22	18	23	41	21
AT1G26700	0	0	2	2	0	0	0	0	0	0	0	2
AT1G73603	1	0	0	0	0	0	0	2	2	0	1	0
