Geneid	ABA_Col_1	ABA_Col_2	ABA_Col_3	ABA_g7g8_1	ABA_g7g8_2	ABA_g7g8_3	Mock_Col_1	Mock_Col_2	Mock_Col_3	Mock_g7g8_1	Mock_g7g8_2	Mock_g7g8_3
AT5G44230	9	12	7	12	4	9	8	17	11	11	6	18
AT5G54855	2	7	2	14	18	11	14	9	13	3	8	5
AT5G14310	0	0	0	0	0	0	0	0	0	0	0	0
AT5G13170	55	98	123	154	94	76	16	13	10	8	4	9
AT5G06180	4	8	8	4	3	10	8	11	13	11	9	6
AT5G64740	93	227	149	235	250	214	257	272	280	198	300	267
AT5G01030	2	11	7	16	2	8	14	13	11	11	12	8
AT5G63880	6	14	11	30	20	25	11	23	16	10	16	15
AT5G06340	34	50	33	66	65	79	68	84	93	24	109	89
AT5G47540	19	49	26	33	36	27	50	42	42	26	39	55
AT5G18560	0	0	1	0	0	0	1	0	0	0	0	1
AT5G19220	21	45	32	63	57	53	84	62	70	33	65	65
AT5G53160	145	198	177	275	250	281	388	360	384	267	432	280
AT5G52300	113	223	193	195	178	181	1	6	7	1	3	4
AT5G19930	2	11	6	6	13	14	13	8	13	9	21	11
AT5G57500	0	1	3	1	1	2	2	1	5	3	2	0
AT5G61530	74	86	87	113	112	112	81	89	74	71	104	84
AT5G14400	0	0	0	0	0	0	0	0	0	0	0	0
AT5G15600	10	30	9	24	19	23	25	23	11	9	30	11
AT5G50240	3	2	4	1	1	5	5	0	0	0	0	2
AT5G19360	0	0	0	0	0	0	0	0	0	0	0	0
AT5G08330	18	42	28	68	63	43	69	83	74	29	90	52
AT5G45150	0	1	0	0	0	0	0	0	0	0	0	0
AT5G45115	0	1	1	0	0	1	0	0	1	0	1	0
AT5G18037	0	0	0	0	0	1	0	0	0	0	0	0
AT5G14150	3	1	3	2	1	3	4	2	8	2	3	2
AT5G40370	33	49	35	72	71	64	49	41	54	32	48	68
AT5G64340	112	164	164	165	192	201	175	180	175	123	170	121
AT5G53220	3	4	3	9	7	6	5	8	5	5	7	1
AT5G17030	0	0	0	0	0	0	0	0	0	0	0	0
AT5G14340	0	4	0	0	1	0	0	0	2	0	2	2
