gene	Mock.Col0.rna	ABA.Col0.rna	Mock.g7g8.rna	ABA.g7g8.rna	Mock_Col0.ribo	ABA_Col0.ribo	Mock_g7g8.ribo	ABA_g7g8.ribo
AT1G73090	12.24058612	6.746445805	10.23904162	7.616223645	9.305140592	6.029730452	6.311457196	8.475359695
AT1G04780	18.75624422	18.25975274	16.03327824	21.59243581	5.348691901	6.422101714	8.573940476	6.387217727
AT1G68330	6.354879025	4.369034481	4.621812878	3.599242955	1.75382633	1.890877428	1.234035153	2.040712664
AT1G34480	0.111649731	0.224586895	0.093006338	0.190792591	0.100907754	0.321349866	0	0.185047749
AT1G76240	12.06663124	7.041433576	8.292149693	4.775569409	7.221583771	8.139349844	5.589339749	2.908877704
AT1G20760	16.05370021	14.93633861	15.85590544	18.35744589	18.63788428	17.35431965	17.40729584	18.6971574
AT1G56690	2.700784576	1.509664527	1.99549712	1.701241308	0.932616866	0.163855036	1.756506499	1.068396743
AT1G17520	4.964624918	4.679179003	4.76390267	5.764205289	6.987054532	5.331515633	5.11413005	4.891375444
AT1G76740	1.355564477	1.350992278	0.647423139	0.697031889	1.014676248	0.994534977	0.560485805	0.747856592
AT1G78570	156.3332456	125.4329129	138.3073693	119.8146957	174.9063073	102.9995346	150.8568062	122.1474155
AT1G09470	4.312541511	3.203864416	3.401514054	3.009990903	1.810472824	2.356208103	2.506054158	2.363680645
AT1G77260	18.4415973	22.1188997	17.7526803	21.94276243	12.25539702	14.78939868	14.23692486	12.46318488
AT1G50930	0.508699051	0.958510388	0.93233366	1.523863279	1.216015737	1.278363675	1.203992541	1.479039972
AT1G12270	44.21096784	30.51634016	38.90687162	32.33198526	45.71405425	25.76984286	41.71959055	28.25864731
AT1G68050	6.725236051	7.060498534	4.314659047	8.874309857	4.635784464	7.546213036	4.869675305	4.502176594
AT1G66800	13.27563142	2.930575919	7.113059539	3.171959475	7.34228755	2.07213662	4.679308777	1.135023153
AT1G13330	1.037079733	1.687422719	1.164494765	1.478735291	2.549327637	2.900676393	1.558915266	2.343987269
AT1G23970	10.33246263	7.828822512	10.84223881	9.673024533	5.826829717	5.745619404	7.766944619	8.531721861
AT1G49720	9.226361253	13.15889143	7.399004038	14.55683928	10.17088526	14.78088319	11.62406983	11.92288422
AT1G15290	40.720669	37.89513368	36.14484662	36.11726755	41.93138808	28.88638925	31.26761084	20.28818755
AT1G09580	9.123887076	7.338086959	6.905180652	6.835186294	19.79752389	8.682928496	12.61491822	11.05510356
AT1G42970	1119.080142	907.8682032	1111.932125	981.5587251	843.2693094	414.1146695	968.238636	690.4843538
AT1G53780	24.3519062	22.36192382	23.50254156	26.09170152	0.35993898	0.898211361	0.471625607	0.389400956
AT1G26910	25.30089661	13.69886461	23.3780705	18.49867851	17.3807271	7.526436243	19.33447689	11.32313937
AT1G07410	2.778568964	3.207445605	2.053031799	2.974858603	1.778724047	3.615384874	2.626204332	1.384680067
AT1G66345	2.658672852	2.26900485	1.988060627	1.927648846	0.486777851	0.721381636	0.340177782	0.490387251
AT1G49670	16.22402583	22.45016204	15.00606267	24.49347495	29.22537559	49.58483882	25.86982821	48.95146955
AT1G24610	30.59099447	28.84455061	27.87270454	28.14724656	13.52472095	9.291637652	7.943999135	13.48179447
AT1G25300	0	0	0	0	0	0	0	0
